1;10;;;;;;;
2;6;;;;;;;
3;5;;;;;;;
4;9;;;;;;;
5;2;;;;;;;
6;6;;;;;;;
7;8;;;;;;;
8;8;;;;;;;
9;10;;;;;;;
10;1;;;;;;;
11;1;;;;;;;
12;4;;;;;;;
13;1;;;;;;;
14;4;;;;;;;
15;1;;;;;;;
16;5;;;;;;;
17;1;;;;;;;
18;7;;;;;;;
19;8;;;;;;;
20;3;;;;;;;
21;7;;;;;;;
22;4;;;;;;;
23;4;;;;;;;
24;10;;;;;;;
25;9;;;;;;;
26;8;;;;;;;
27;8;;;;;;;
28;6;;;;;;;
29;8;;;;;;;
30;2;;;;;;;
31;10;;;;;;;
32;8;;;;;;;
33;4;;;;;;;
34;2;;;;;;;
35;9;;;;;;;
36;2;;;;;;;
37;8;;;;;;;
38;1;;;;;;;
39;10;;;;;;;
40;10;;;;;;;
41;6;;;;;;;
42;10;;;;;;;
43;3;;;;;;;
44;1;;;;;;;
45;8;;;;;;;
46;10;;;;;;;
47;9;;;;;;;
48;7;;;;;;;
49;7;;;;;;;
50;6;;;;;;;
51;10;;;;;;;
52;3;;;;;;;
53;1;;;;;;;
54;7;;;;;;;
55;9;;;;;;;
56;10;;;;;;;
57;2;;;;;;;
58;6;;;;;;;
59;1;;;;;;;
60;5;;;;;;;
61;2;;;;;;;
62;6;;;;;;;
63;3;;;;;;;
64;4;;;;;;;
65;5;;;;;;;
66;10;;;;;;;
67;3;;;;;;;
68;6;;;;;;;
69;1;;;;;;;
70;5;;;;;;;
71;5;;;;;;;
72;5;;;;;;;
73;10;;;;;;;
74;2;;;;;;;
75;3;;;;;;;
76;2;;;;;;;
77;7;;;;;;;
78;4;;;;;;;
79;10;;;;;;;
80;6;;;;;;;
81;8;;;;;;;
82;5;;;;;;;
83;1;;;;;;;
84;3;;;;;;;
85;10;;;;;;;
86;1;;;;;;;
87;2;;;;;;;
88;5;;;;;;;
89;7;;;;;;;
90;7;;;;;;;
91;4;;;;;;;
92;9;;;;;;;
93;6;;;;;;;
94;7;;;;;;;
95;10;;;;;;;
96;8;;;;;;;
97;1;;;;;;;
98;1;;;;;;;
99;2;;;;;;;
100;3;;;;;;;
101;4;;;;;;;
102;4;;;;;;;
103;4;;;;;;;
104;7;;;;;;;
105;1;;;;;;;
106;6;;;;;;;
107;7;;;;;;;
108;2;;;;;;;
109;8;;;;;;;
110;4;;;;;;;
111;6;;;;;;;
112;9;;;;;;;
113;4;;;;;;;
114;4;;;;;;;
115;5;;;;;;;
116;1;;;;;;;
117;2;;;;;;;
118;5;;;;;;;
119;6;;;;;;;
120;5;;;;;;;
121;10;;;;;;;
122;6;;;;;;;
123;2;;;;;;;
124;9;;;;;;;
125;7;;;;;;;
126;7;;;;;;;
127;4;;;;;;;
128;10;;;;;;;
