1,68,4,4,454,10,6310.18
2,4647,3,6,576,8,6920.94
3,4836,21,3,995,1,758.67
4,235,5,4,1532,2,582.52
5,1087,45,6,984,1,92.84
6,4607,7,3,484,2,148.46
7,3802,39,3,696,4,50.41
8,2709,13,1,308,3,255.91
9,2889,37,1,498,6,101.19
10,3775,17,2,1337,3,95.51
11,2818,8,6,746,4,160.91
12,4539,46,6,892,2,41.88
13,3534,3,5,323,4,3087.47
14,643,31,6,1076,6,548.64
15,1802,45,4,1374,8,674.85
16,882,27,4,1164,7,1286.73
17,1151,6,6,1228,7,1096.02
18,1367,49,4,96,7,76.08
19,2110,34,1,1321,3,121.88
20,486,28,5,1578,7,995.50
21,1925,40,5,134,8,478.81
22,2546,22,1,1761,10,6551.81
23,1025,44,6,1377,2,261.49
24,1764,18,2,1795,9,181.10
25,316,20,5,142,5,92.70
26,469,10,3,621,5,583.95
27,1186,36,2,673,4,57.06
28,3862,24,3,1283,10,1839.47
29,903,46,3,144,5,112.83
30,1590,6,5,720,5,712.31
31,3052,15,1,721,10,847.25
32,973,44,6,45,3,373.20
33,940,44,4,1368,6,764.48
34,3703,14,2,1313,10,595.84
35,439,47,5,1647,3,41.38
36,4506,16,4,238,6,148.28
37,3773,28,4,43,3,455.84
38,3697,32,1,923,10,628.86
39,664,24,2,741,1,162.37
40,1455,1,2,1424,9,10247.12
41,4050,36,5,389,5,77.07
42,453,11,5,1231,7,700.27
43,390,18,1,617,7,145.18
44,3763,44,3,138,3,341.29
45,3474,35,5,39,9,278.91
46,3657,12,1,734,4,132.85
47,3075,4,1,582,1,551.82
48,4387,43,5,430,1,73.79
49,1614,44,6,1143,2,250.74
50,3368,15,4,687,10,880.05
51,705,42,6,570,7,392.72
52,3817,48,5,994,8,275.99
53,1509,3,1,368,5,4159.00
54,817,50,1,349,2,118.41
55,2204,36,3,360,9,144.12
56,2627,7,2,107,6,439.77
57,903,50,5,1774,5,291.71
58,2977,27,5,1655,6,1161.22
59,942,39,2,1280,4,47.42
60,953,45,6,1333,3,288.71
61,1971,38,3,540,7,184.27
62,3127,50,4,224,6,359.60
63,3759,7,2,1689,5,425.85
64,382,11,6,811,7,841.06
65,2474,20,4,715,7,118.56
66,1790,1,3,337,8,9438.90
67,793,44,3,71,3,345.28
68,1858,8,5,1636,7,263.60
69,3406,17,4,743,6,175.58
70,4632,25,5,1338,1,471.65
71,4516,36,2,748,4,59.84
72,4943,42,2,539,2,115.84
73,4724,12,6,1799,3,104.63
74,473,25,3,976,1,540.78
75,409,25,6,718,2,916.39
76,3701,11,2,958,2,220.82
77,168,6,5,1517,7,1081.92
78,3936,22,6,1666,9,6032.72
79,4724,31,3,1359,10,865.81
80,1321,9,1,190,9,4336.47
81,2751,27,3,230,10,2013.81
82,836,1,4,417,6,7065.19
83,1993,7,4,96,10,793.76
84,3003,23,4,1404,7,1783.84
85,4988,27,2,1659,2,367.09
86,1731,34,6,1763,10,409.82
87,4346,11,6,386,1,109.99
88,3490,32,3,428,7,396.63
89,1594,27,1,672,8,1636.45
90,4317,22,3,222,10,6935.23
91,1988,31,6,813,5,462.80
92,2728,33,2,1245,4,538.73
93,4801,36,1,813,4,61.25
94,1263,10,3,1038,8,1019.27
95,572,39,6,1021,2,24.62
96,2082,32,4,361,3,187.44
97,3325,3,1,1377,10,8157.17
98,2933,17,1,1774,6,170.42
99,2572,25,2,1773,1,539.48
100,3853,39,4,967,10,109.11
101,4810,28,6,1032,10,1511.51
102,1111,41,3,352,10,204.21
103,1441,45,1,557,2,177.07
104,4164,5,1,730,10,2982.28
105,3513,29,1,550,8,618.82
106,2407,1,6,1069,3,3705.36
107,2215,7,6,634,1,78.59
108,2013,12,6,830,1,32.16
109,4459,7,6,1043,3,230.23
110,4529,18,2,279,5,94.89
111,3014,1,6,1353,6,7490.23
112,745,8,6,1391,2,87.68
113,3413,18,1,1714,2,38.47
114,2880,13,5,241,4,357.66
115,2621,20,6,792,10,164.01
116,1468,25,1,274,4,1927.32
117,2618,40,3,1539,3,149.66
118,1430,16,4,1261,10,258.20
119,3469,39,2,1777,4,45.42
120,3144,6,5,111,9,1426.26
121,1572,39,6,1487,4,50.72
122,2504,9,3,618,1,439.07
123,1456,33,6,1162,4,551.82
124,4239,35,5,464,4,119.34
125,840,48,5,1621,1,35.05
126,2966,19,2,1587,7,381.06
127,1095,36,3,1225,4,58.08
128,178,37,3,1541,9,171.95
129,3058,39,3,1457,1,11.40
130,3498,39,4,496,10,110.31
131,3853,26,3,1099,9,6329.02
132,38,3,5,1043,3,2424.23
133,3731,14,3,1816,7,470.19
134,4230,28,4,1662,10,1427.46
135,135,27,6,59,7,1423.59
136,697,17,5,184,1,32.78
137,1761,34,3,1404,6,264.18
138,2937,27,4,294,6,1098.38
139,4139,28,1,1385,5,714.11
140,1481,14,3,1023,7,461.87
141,2685,2,3,141,6,9506.77
142,3347,46,5,685,6,127.01
143,1112,46,6,725,9,195.41
144,3864,45,5,999,8,665.91
145,273,9,3,383,6,2900.50
146,4019,28,6,1183,5,752.12
147,585,41,4,686,5,101.46
148,3336,36,1,649,9,130.97
149,156,47,1,28,3,44.45
150,4736,25,5,1602,4,1800.61
151,2409,42,5,729,8,436.45
152,4295,25,4,378,6,2948.97
153,423,13,6,921,5,424.02
154,4876,17,4,1686,4,113.58
155,4401,5,6,707,6,1778.31
156,3455,6,4,288,4,640.58
157,3658,20,3,1445,7,117.76
158,3388,9,4,1201,9,3898.66
159,338,33,5,1825,10,1296.98
160,4063,17,4,1084,5,155.52
161,1962,19,5,657,6,320.91
162,3655,48,4,329,4,139.33
163,3816,27,5,190,3,542.70
164,3933,27,4,901,8,1552.23
165,2442,6,1,1241,4,618.21
166,1704,4,5,264,1,608.52
167,2276,48,1,1047,6,219.49
168,1229,16,6,861,4,100.51
169,2733,42,6,557,3,178.66
170,1067,27,4,362,1,190.41
171,237,37,6,55,4,76.54
172,4792,49,6,1250,2,24.48
173,4898,33,5,1366,6,857.00
174,711,36,1,1020,4,62.99
175,3669,18,4,935,5,99.41
176,3483,6,5,1356,8,1240.54
177,2300,47,4,1382,7,106.00
178,1207,46,5,753,3,64.27
179,2811,39,5,1633,10,109.63
180,1345,45,2,297,3,274.01
181,1524,32,4,345,5,320.29
182,1983,40,5,549,5,250.51
183,551,14,1,1310,5,324.00
184,3696,16,2,221,8,209.33
185,4099,22,2,848,5,3462.95
186,22,13,3,977,1,97.74
187,1364,47,2,1421,4,64.06
188,673,35,6,1383,5,162.77
189,4071,31,3,38,6,521.70
190,1540,1,2,888,5,6480.84
191,3428,50,3,224,4,261.64
192,4320,50,5,539,2,119.74
193,4935,21,3,1797,10,8036.02
194,623,11,5,1076,9,1057.22
195,907,25,4,1587,4,2015.21
196,796,38,2,1584,9,242.62
197,337,47,1,1798,5,80.49
198,1549,17,2,648,3,82.85
199,4983,24,5,571,1,192.25
200,833,12,1,593,4,134.27
201,714,19,6,524,2,96.65
202,2920,24,2,315,4,653.61
203,483,20,3,1113,2,37.24
204,818,4,5,1442,10,6058.84
205,2563,21,4,1255,5,3860.43
206,2487,8,5,658,10,367.86
207,3331,40,5,457,7,370.12
208,673,40,6,318,2,119.19
209,3133,42,4,274,1,59.35
210,4313,41,2,794,2,39.24
211,1159,27,5,721,2,410.63
212,4090,23,6,1274,10,2534.24
213,3125,10,1,958,10,1271.91
214,708,48,1,1469,3,108.40
215,2882,32,2,1786,8,436.72
216,1649,11,2,1125,5,556.47
217,4042,48,2,473,8,304.60
218,1186,40,3,767,1,53.14
219,4193,42,1,668,9,485.04
220,3114,3,3,603,3,2285.83
221,3429,23,3,1079,7,1817.41
222,4973,22,1,282,2,1334.99
223,4788,33,3,918,1,119.44
224,3187,22,6,1426,3,1841.02
225,4579,32,5,1688,7,407.20
226,1947,5,2,165,3,969.31
227,1131,38,1,360,4,101.12
228,75,18,4,1056,8,172.88
229,653,49,5,625,1,11.30
230,994,49,6,1753,6,75.31
231,4589,11,6,945,10,1146.49
232,1000,17,4,316,4,115.38
233,1050,36,2,267,7,104.46
234,462,37,3,660,7,125.83
235,4560,17,5,1427,9,283.40
236,3391,22,4,657,3,1898.35
237,4382,43,2,716,3,219.11
238,14,49,1,585,6,67.82
239,3579,33,5,1605,5,673.60
240,3461,32,4,1705,10,653.89
241,2282,21,5,844,5,4059.63
242,4710,31,3,436,4,348.17
243,3913,21,3,1023,3,2603.41
244,4003,18,5,1006,2,41.65
245,2385,34,4,652,8,347.27
246,986,48,6,1512,8,275.77
247,2742,15,3,999,6,466.34
248,2935,50,6,201,7,415.01
249,4906,28,2,364,1,151.97
250,1693,23,6,579,2,489.60
251,1571,3,1,1053,8,6594.83
252,1272,12,3,1529,9,333.39
253,1762,20,6,1352,7,127.34
254,4651,41,5,1421,1,21.82
255,4147,3,3,372,5,4042.84
256,590,22,2,558,9,5731.98
257,3982,7,3,864,1,77.52
258,4799,10,4,1111,5,651.77
259,3301,41,6,426,6,125.99
260,3237,45,3,247,10,934.36
261,4348,23,4,572,9,2188.99
262,349,11,1,1075,4,445.02
263,161,44,4,929,3,330.43
264,1301,25,2,536,6,2938.60
265,4195,18,3,288,9,183.94
266,184,31,3,1515,10,1033.25
267,4974,33,1,923,2,241.97
268,2272,20,1,1790,3,52.26
269,822,28,3,625,4,602.08
270,2756,43,5,1292,7,475.35
271,2616,38,1,922,5,130.63
272,2158,42,6,828,7,387.85
273,4036,7,3,1801,3,250.84
274,4770,18,5,350,7,152.51
275,1975,20,1,869,8,143.04
276,418,43,1,782,5,347.36
277,1874,50,3,981,2,127.65
278,2150,45,5,558,6,536.58
279,4100,22,4,466,5,3346.30
280,3997,20,1,910,6,107.30
281,2573,10,2,1807,6,698.33
282,145,50,6,1019,10,576.17
283,3997,24,5,1139,1,167.59
284,4350,50,3,268,4,235.71
285,1953,14,6,1018,1,62.41
286,3810,7,3,1627,2,152.14
287,4037,43,5,556,2,141.57
288,2617,37,3,1818,4,71.99
289,2322,24,6,308,8,1303.31
290,4985,25,1,1107,10,5177.80
291,323,49,1,212,7,83.33
292,2210,37,1,1300,10,168.41
293,4334,21,3,1398,3,2212.72
294,2992,38,2,1748,8,196.07
295,2048,23,2,1408,6,1613.76
296,2917,46,5,259,1,21.80
297,1089,35,5,97,4,127.22
298,873,49,2,252,4,43.65
299,3835,20,2,931,4,71.02
300,1844,21,4,1748,8,6743.84
301,513,45,3,219,1,92.96
302,3738,44,6,845,7,897.70
303,4594,10,4,1771,6,674.13
304,3401,16,6,1673,5,130.19
305,560,10,5,1808,7,913.75
306,850,6,2,664,3,411.80
307,1364,21,2,334,2,1627.39
308,4478,37,2,1793,5,88.10
309,2609,29,3,986,6,468.01
310,1482,24,6,1044,2,331.88
311,800,50,6,945,4,234.34
312,3688,13,5,1069,1,84.71
313,4423,7,6,1366,7,561.45
314,817,35,3,343,7,217.17
315,1359,2,1,1559,4,5691.52
316,2187,4,1,1132,9,5083.62
317,3189,1,2,1124,7,9105.83
318,3840,31,1,287,8,750.19
319,4453,16,4,1624,1,24.92
320,3955,45,1,612,8,669.21
321,2310,35,5,1418,1,30.94
322,844,33,4,671,4,560.15
323,1326,25,3,1348,10,4929.40
324,2446,7,5,1341,6,500.92
325,1890,39,6,756,10,108.80
326,4625,47,6,312,5,69.46
327,938,46,5,185,9,180.94
328,3062,36,5,1144,3,45.72
329,3806,1,4,151,6,7808.07
330,549,39,2,1363,3,38.02
331,2793,11,4,675,2,216.63
332,206,36,6,968,5,75.22
333,1160,39,2,807,4,50.46
334,2442,13,6,305,7,612.62
335,1961,21,1,941,5,3901.91
336,1784,50,6,274,3,188.44
337,2493,4,1,1528,4,2201.65
338,2707,24,5,1818,8,1459.08
339,98,15,3,1780,2,169.75
340,4039,6,4,640,6,883.94
341,3702,4,5,494,7,3784.04
342,764,26,3,602,9,6414.15
343,1711,16,4,885,9,222.91
344,3308,30,4,1458,1,108.23
345,2293,15,3,1607,8,703.98
346,1911,6,6,671,4,567.10
347,2165,38,4,1380,8,215.85
348,2163,22,1,1052,5,3507.99
349,354,38,3,1393,4,106.87
350,4436,6,3,909,5,699.33
351,422,30,5,1794,6,765.74
352,2449,31,4,308,1,94.70
353,4720,31,4,1228,5,491.49
354,2877,27,3,1661,8,1488.54
355,3174,44,5,1562,5,653.19
356,203,49,2,1690,5,65.48
357,3115,34,3,300,7,307.37
358,4835,47,5,1158,4,60.23
359,3357,36,4,1124,8,129.37
360,3597,39,3,565,10,129.43
361,3329,10,4,1205,3,387.31
362,3638,5,6,319,4,1317.21
363,1010,9,5,614,1,441.62
364,1376,19,2,446,4,182.08
